hash,family,seed,result,time,conflicts,decisions,propagations,returncode,maquina
3240a190f6dbb8efa026770a2e8fa602,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
3240a190f6dbb8efa026770a2e8fa602,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
3240a190f6dbb8efa026770a2e8fa602,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
343ec0a7ec1b919d9151b656ef030f07,argumentation,42,UNSAT,295.474,2234932.000,2808733.000,127180695.000,20,pc1
343ec0a7ec1b919d9151b656ef030f07,argumentation,123,UNSAT,350.103,2540316.000,3153467.000,143233651.000,20,pc1
343ec0a7ec1b919d9151b656ef030f07,argumentation,777,UNSAT,340.692,2498671.000,3099452.000,140732302.000,20,pc1
34f22180acdb9f648e1cf65a0d3a1760,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
34f22180acdb9f648e1cf65a0d3a1760,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
34f22180acdb9f648e1cf65a0d3a1760,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
384bdf1d5ee9dadc4b377e204e10c821,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
384bdf1d5ee9dadc4b377e204e10c821,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
384bdf1d5ee9dadc4b377e204e10c821,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
3c15c8fb5153b9d758a9eb16c66adc5d,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
3c15c8fb5153b9d758a9eb16c66adc5d,argumentation,123,SAT,602.433,4144501.000,5210295.000,324906537.000,10,pc1
3c15c8fb5153b9d758a9eb16c66adc5d,argumentation,777,SAT,183.518,1540189.000,1959839.000,128321021.000,10,pc1
3ff114cc7bee4f39fa56a0325e605c2d,argumentation,42,UNSAT,440.161,2920194.000,3584042.000,241185269.000,20,pc1
3ff114cc7bee4f39fa56a0325e605c2d,argumentation,123,UNSAT,469.406,3140309.000,3890739.000,257588113.000,20,pc1
3ff114cc7bee4f39fa56a0325e605c2d,argumentation,777,UNSAT,434.417,2787013.000,3427401.000,230894150.000,20,pc1
40737c2f46512069d54b0d2bb3b47a20,argumentation,42,UNSAT,732.243,6418633.000,9602777.000,754618387.000,20,pc1
40737c2f46512069d54b0d2bb3b47a20,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
40737c2f46512069d54b0d2bb3b47a20,argumentation,777,UNSAT,776.252,6641303.000,9928598.000,778860534.000,20,pc1
414760c54a9a3432f842f2c16da861d9,argumentation,42,SAT,0.119,0.000,0.000,1000.000,10,pc1
414760c54a9a3432f842f2c16da861d9,argumentation,123,SAT,0.127,0.000,0.000,1000.000,10,pc1
414760c54a9a3432f842f2c16da861d9,argumentation,777,SAT,0.143,0.000,0.000,1000.000,10,pc1
4214f45042f8c504f9837afaec88bf8f,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
4214f45042f8c504f9837afaec88bf8f,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
4214f45042f8c504f9837afaec88bf8f,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
4611cd26b441b8c5866e4a2c5a7952dc,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
4611cd26b441b8c5866e4a2c5a7952dc,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
4611cd26b441b8c5866e4a2c5a7952dc,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
465c7f101b2d24de63f6a6f544faa9ee,argumentation,42,SAT,356.308,183724.000,619346.000,254011883.000,10,pc1
465c7f101b2d24de63f6a6f544faa9ee,argumentation,123,SAT,358.824,198790.000,625479.000,198610630.000,10,pc1
465c7f101b2d24de63f6a6f544faa9ee,argumentation,777,SAT,265.311,142622.000,609640.000,171649656.000,10,pc1
4b23ab2cc2fc9429a213cc6712919cc3,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
4b23ab2cc2fc9429a213cc6712919cc3,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
4b23ab2cc2fc9429a213cc6712919cc3,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
4be4ae25aae88528bc10f8369bba86df,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
4be4ae25aae88528bc10f8369bba86df,argumentation,123,UNSAT,790.181,7069718.000,10593474.000,768505465.000,20,pc1
4be4ae25aae88528bc10f8369bba86df,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
4c04274d6c93b04b7edec44b21ec71c0,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
4c04274d6c93b04b7edec44b21ec71c0,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
4c04274d6c93b04b7edec44b21ec71c0,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
4c6e57f5552d546278e192b6e332635a,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
4c6e57f5552d546278e192b6e332635a,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
4c6e57f5552d546278e192b6e332635a,argumentation,777,SAT,63.234,503759.000,709966.000,90619771.000,10,pc1
5884bd13ef73c1305f7fadd1188d81db,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
5884bd13ef73c1305f7fadd1188d81db,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
5884bd13ef73c1305f7fadd1188d81db,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
5c48ad5bfb25910c611a5cb252ecf581,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
5c48ad5bfb25910c611a5cb252ecf581,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
5c48ad5bfb25910c611a5cb252ecf581,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
5cb1ca8fe8a9d9125ea9accd498445f1,argumentation,42,UNSAT,756.985,5342727.000,6546059.000,320218636.000,20,pc1
5cb1ca8fe8a9d9125ea9accd498445f1,argumentation,123,UNSAT,627.584,5320716.000,6516437.000,319770076.000,20,pc1
5cb1ca8fe8a9d9125ea9accd498445f1,argumentation,777,UNSAT,592.828,4598740.000,5670546.000,275758279.000,20,pc1
5cba2130f3b9b5aabe6d4bef8438b5a7,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
5cba2130f3b9b5aabe6d4bef8438b5a7,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
5cba2130f3b9b5aabe6d4bef8438b5a7,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
62b5634297cf5a00efcfe0b2ab33c705,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
62b5634297cf5a00efcfe0b2ab33c705,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
62b5634297cf5a00efcfe0b2ab33c705,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
62eae28dcf3170b1547fb5db73e6a295,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
62eae28dcf3170b1547fb5db73e6a295,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
62eae28dcf3170b1547fb5db73e6a295,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
674affb219c049cdbff1b65a6b7bedcc,argumentation,42,SAT,394.665,308424.000,768494.000,265665424.000,10,pc1
674affb219c049cdbff1b65a6b7bedcc,argumentation,123,SAT,190.872,84076.000,287781.000,65376070.000,10,pc1
674affb219c049cdbff1b65a6b7bedcc,argumentation,777,SAT,447.600,436525.000,1119815.000,386090097.000,10,pc1
6754a2269c4ed4c91b9fe2dabf683ca8,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
6754a2269c4ed4c91b9fe2dabf683ca8,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
6754a2269c4ed4c91b9fe2dabf683ca8,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
67b4844c4bfbaf961cbbd79b953aa5c2,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
67b4844c4bfbaf961cbbd79b953aa5c2,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
67b4844c4bfbaf961cbbd79b953aa5c2,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
69ed23c545d2a48f735f2187d919a5dd,argumentation,42,SAT,261.392,117495.000,293334.000,119287151.000,10,pc1
69ed23c545d2a48f735f2187d919a5dd,argumentation,123,SAT,38.311,22796.000,108513.000,12021533.000,10,pc1
69ed23c545d2a48f735f2187d919a5dd,argumentation,777,SAT,706.688,794595.000,1979969.000,700941824.000,10,pc1
6d6b5efe28f4fc13c982cd8404245950,argumentation,42,SAT,0.117,0.000,0.000,800.000,10,pc1
6d6b5efe28f4fc13c982cd8404245950,argumentation,123,SAT,0.100,0.000,0.000,800.000,10,pc1
6d6b5efe28f4fc13c982cd8404245950,argumentation,777,SAT,0.119,0.000,0.000,800.000,10,pc1
6dd45cf2d273ca149df4cabd2fea5c70,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
6dd45cf2d273ca149df4cabd2fea5c70,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
6dd45cf2d273ca149df4cabd2fea5c70,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
6fab31665147f538da92dc16c3a239ad,argumentation,42,TIMEOUT,800.000,,,,-1,pc1
6fab31665147f538da92dc16c3a239ad,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
6fab31665147f538da92dc16c3a239ad,argumentation,777,TIMEOUT,800.000,,,,-1,pc1
76257d780dcaae3c7a28b1fcfb44dad0,argumentation,42,SAT,377.115,2573342.000,3247825.000,207453234.000,10,pc1
76257d780dcaae3c7a28b1fcfb44dad0,argumentation,123,TIMEOUT,800.000,,,,-1,pc1
76257d780dcaae3c7a28b1fcfb44dad0,argumentation,777,SAT,323.339,2444645.000,3097262.000,199069304.000,10,pc1
77f2ff6b224e8f65ada066a8a11f82ea,argumentation,42,SAT,0.135,0.000,0.000,1000.000,10,pc1
77f2ff6b224e8f65ada066a8a11f82ea,argumentation,123,SAT,0.108,0.000,0.000,1000.000,10,pc1
77f2ff6b224e8f65ada066a8a11f82ea,argumentation,777,SAT,0.101,0.000,0.000,1000.000,10,pc1
7b9d8b9b31b530effd634f5a8f1f4411,argumentation,42,UNSAT,616.013,4673673.000,5780216.000,276049135.000,20,pc1
7b9d8b9b31b530effd634f5a8f1f4411,argumentation,123,UNSAT,521.054,3975306.000,4938722.000,237574061.000,20,pc1
7b9d8b9b31b530effd634f5a8f1f4411,argumentation,777,UNSAT,648.093,4610270.000,5711179.000,273874184.000,20,pc1
