instance,family,build,exit,secs,clauses_in,clauses_out,proof_bytes,out_sha1
2b7e863462991fd008f9898eca63ebf4.cnf.xz,H,mclique,0,8.747,803227,764043,1043930,44554af9af2fee52d5f2a10eb0f060fa2335958c
2b7e863462991fd008f9898eca63ebf4.cnf.xz,H,cliques,0,8.650,803227,764043,1043930,44554af9af2fee52d5f2a10eb0f060fa2335958c
306a29e966fa6293d407bc7ebbc3ecb1.cnf.xz,H,mit,0,13.916,360625,1,13416447,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
306a29e966fa6293d407bc7ebbc3ecb1.cnf.xz,H,mclique,0,13.972,360625,1,13416447,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
306a29e966fa6293d407bc7ebbc3ecb1.cnf.xz,H,cliques,0,13.269,360625,1,13416447,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
35e0b5a19c88961d98dd806e805759f4.cnf.xz,H,mit,0,0.415,16401,1,510738,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
35e0b5a19c88961d98dd806e805759f4.cnf.xz,H,mclique,0,0.466,16401,1,510738,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
35e0b5a19c88961d98dd806e805759f4.cnf.xz,H,cliques,0,0.415,16401,1,510738,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
3c4ac805726d78a869ff8116ee3533db.cnf.xz,H,mit,0,0.008,2030,1,14414,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
3c4ac805726d78a869ff8116ee3533db.cnf.xz,H,mclique,0,0.008,2030,1,14414,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
3c4ac805726d78a869ff8116ee3533db.cnf.xz,H,cliques,0,0.008,2030,1,14414,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
43d40ced32b5be08814ef24f97379654.cnf.xz,H,mit,0,0.008,2850,1,9385,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
43d40ced32b5be08814ef24f97379654.cnf.xz,H,mclique,0,0.008,2850,1,9385,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
43d40ced32b5be08814ef24f97379654.cnf.xz,H,cliques,0,0.008,2850,1,9385,b28ec1b50de7e6fbef1779f53d50f448df3de8ac
44452f4bac1e77157bbc900c5cc0756d.cnf.xz,H,mit,0,0.265,210064,194794,240696,4a4e866727a42734fd40863ba60f657b287c2bb3
44452f4bac1e77157bbc900c5cc0756d.cnf.xz,H,mclique,0,0.265,210064,194794,240696,4a4e866727a42734fd40863ba60f657b287c2bb3
44452f4bac1e77157bbc900c5cc0756d.cnf.xz,H,cliques,0,0.265,210064,194794,240696,4a4e866727a42734fd40863ba60f657b287c2bb3
