label,instance,family,seed,status,exit_code,wall_s,cpu_s,max_rss_mb,conflicts,decisions,propagations,restarts,rephased,budget_kind,budget_value,opts,instance_sha1,started_at,parallel_jobs
A-default,c3bc9b01e5f804723b74715508941bf2.cnf.xz,ecc-equivalence-checking,1,SAT,10,10.643,10.958,1381.4,0,0,8086649,0,0,time,180.0,,ddca45c3944149cd3b78d5a31064f3116651a22e,2026-09-22T14:52:36+00:00,1
A-default,f554b55356a5e0ed39dbf8c1030ebce0.cnf.xz,ecc-equivalence-checking,1,SAT,10,16.924,17.467,1840.7,0,0,10781849,0,0,time,180.0,,827e7805e349a9614225db7b30b9c14099291431,2026-09-22T14:52:47+00:00,1
A-default,805a742eb8b4e0df3561ca8e0670670b.cnf.xz,fpga-routing,1,UNSAT,20,74.695,74.043,30.2,3121537,3965471,108486466,80757,33,time,180.0,,792c531d3b63e869eef62d0af025fdd02963ce91,2026-09-22T14:53:04+00:00,1
A-default,1397d1d4d8d831069a2cdf911321da07.cnf.xz,graph-coloring,1,UNSAT,20,3.111,3.076,20.0,127513,247284,11065556,1727,10,time,180.0,,ac40df0becfa7cf8230bce534437d4b64524a79e,2026-09-22T14:54:19+00:00,1
A-default,16f8b291c8cdedb5ca7210fa0eeb34d9.cnf.xz,graph-coloring,1,TIMEOUT,0,180.008,178.149,122.1,4945475,10913807,445723008,94947,44,time,180.0,,81fd6c4a29c561de27c3713970721ce66adb0f20,2026-09-22T14:54:22+00:00,1
A-default,1fac905143027e3bf0932c09f427aa15.cnf.xz,graph-coloring,1,UNSAT,20,0.853,0.801,20.0,39399,67417,4119300,255,6,time,180.0,,743292fb78f6a95b1834dcd3ef1d15f84a3839b3,2026-09-22T14:57:22+00:00,1
A-default,7372171e2e794a98cda6540676608f32.cnf.xz,graph-coloring,1,TIMEOUT,0,180.050,177.879,71.6,4734658,7665157,1180845742,35636,39,time,180.0,,318ea2085f99bff023b4e72d018a39e79bc01782,2026-09-22T14:57:23+00:00,1
A-default,981b0e855eed536df112bf2e4ff98807.cnf.xz,graph-coloring,1,UNSAT,20,154.606,152.739,34.8,4382713,5853191,246004771,107684,39,time,180.0,,c917cf71a9d23070264dc7ddbb0e077b5cb10aab,2026-09-22T15:00:23+00:00,1
A-default,997491c0cbc3e558a3e3266e2a142215.cnf.xz,graph-coloring,1,TIMEOUT,0,180.021,177.749,108.8,5529012,12511106,339014707,61467,45,time,180.0,,a989e994bf6d1c63b80fd9cd9913bb56e2c1e483,2026-09-22T15:02:57+00:00,1
A-default,b13ba48e09e575d6a628c02200ac23f7.cnf.xz,graph-coloring,1,TIMEOUT,0,180.042,177.431,50.0,5060482,8056321,407802386,115249,42,time,180.0,,10eaf4d2f86ffcea6c694d39f6964a705ab0c11e,2026-09-22T15:05:57+00:00,1
A-default,d1335d8a6a98a1988b54e1f481a64fcf.cnf.xz,graph-coloring,1,TIMEOUT,0,180.047,177.412,143.2,4554803,10720034,273496593,32358,42,time,180.0,,c2e07950dbd1e67d3a32ac56f548efe508b49398,2026-09-22T15:08:57+00:00,1
A-default,2d89fda1bd6a761ca5e2f4bb89202681.cnf.xz,linear-equations,1,TIMEOUT,0,180.027,177.606,20.0,3040682,12907169,316827204,113403,34,time,180.0,,9696635ca417b59694ed175a5ba67553213e2e43,2026-09-22T15:11:57+00:00,1
A-default,511f1794698a8620c18a7cc32cfc7776.cnf.xz,linear-equations,1,TIMEOUT,0,180.020,177.449,24.6,2820267,12151014,332063430,103750,32,time,180.0,,58909e69dfd2af2b160873319e456501a2531dde,2026-09-22T15:14:57+00:00,1
A-default,3e7d8073c795d263ed862db64cf9f0fb.cnf.xz,multiplier-circuit-miters,1,TIMEOUT,0,180.049,177.771,25.8,2755546,4881842,241471238,85919,36,time,180.0,,db65ae11952f851edc4cb9954ec62f28a1d1e985,2026-09-22T15:17:57+00:00,1
A-default,6ad453d6174581d982c4e75e37a38d79.cnf.xz,multiplier-circuit-miters,1,TIMEOUT,0,180.017,177.775,39.3,3761309,6089474,222568333,110326,42,time,180.0,,eaa7b4f2f0beda1d8436bc6f53ae53b2fd5bdf89,2026-09-22T15:20:57+00:00,1
A-default,a08d0fcc98fe0ce9c53b2fd0c69ccc4b.cnf.xz,multiplier-circuit-miters,1,TIMEOUT,0,180.043,177.787,22.5,2565282,4702680,296542247,81650,35,time,180.0,,4a7f227b122c5ae4fd512c9f2b1ebccd46bdbc35,2026-09-22T15:23:57+00:00,1
A-default,3a9dfcbcb56689f1118fd7a2150c3c0c.cnf.xz,ntil,1,TIMEOUT,0,180.028,177.655,107.5,2909787,6127673,107448816,43111,34,time,180.0,,f560cdf75fec878e8e91a506b097e49711a89cef,2026-09-22T15:26:58+00:00,1
A-default,dc691557cfebca28aefe7360768389e5.cnf.xz,ntil,1,TIMEOUT,0,180.048,177.979,130.9,2159215,7603754,100791549,32551,33,time,180.0,,cd37b925f650173b035f96c0aa158cd2706683c8,2026-09-22T15:29:58+00:00,1
A-default,e305def35c314eec8266087e89a9ab46.cnf.xz,ntil,1,SAT,10,143.235,141.482,72.6,2631330,5054528,103485191,49684,31,time,180.0,,b35702010b4b9784f1190171e34f4248f92dbe05,2026-09-22T15:32:58+00:00,1
A-default,6e8dba16e06c793a2daca1fa440eeb4f.cnf.xz,polynomial-multiplication,1,TIMEOUT,0,180.102,178.036,1549.2,44889,2667254,580072989,3750,7,time,180.0,,9022fe8a7ba379dcbf5227d7f792e9cdfacebf5a,2026-09-22T15:35:21+00:00,1
A-default,95f346a183b890307596310fd33b4836.cnf.xz,prime-testing,1,TIMEOUT,0,180.041,178.042,22.2,1284809,2112160,676593792,56240,26,time,180.0,,3db5a1be90a4d00b30e530e16fa93abb358e3e14,2026-09-22T15:38:21+00:00,1
A-default,324b2441c6f1fa9d5f3cf3a4c8447fc7.cnf.xz,scheduling,1,TIMEOUT,0,180.343,178.233,343.1,768305,33796775,528515450,29312,22,time,180.0,,94a1890cec09027f3a49f864849bf7cb9487b186,2026-09-22T15:41:21+00:00,1
A-default,372021735d9e46002b862aa2a038a818.cnf.xz,scheduling,1,TIMEOUT,0,180.053,177.728,23.4,2303540,4998677,825916386,78270,32,time,180.0,,c9932b84310d5de37679c4ab1fcbe9643eed9d38,2026-09-22T15:44:21+00:00,1
A-default,1680176921bab3f01c4f7c33791c8c23.cnf.xz,school-timetabling,1,TIMEOUT,0,180.012,178.010,71.2,3795593,9082274,1689957012,53617,38,time,180.0,,3209a2fb4ce89e75ba07e0b2f5dced08ad2c118c,2026-09-22T15:47:21+00:00,1
A-default,47173e8ab499159d3aa301b0101fe170.cnf.xz,school-timetabling,1,UNSAT,20,86.818,85.956,42.7,1584427,3274545,612303560,35034,26,time,180.0,,19bb8fb5b8b1740c1221db9a3923111d5d0ad30d,2026-09-22T15:50:21+00:00,1
A-default,ad2247443454da1fbd4543dd1fa5b57c.cnf.xz,school-timetabling,1,UNSAT,20,151.555,149.622,43.9,3190094,7115902,995202595,78032,36,time,180.0,,e8412c9a56fda9d78a40bb66c43bb2bff57d2224,2026-09-22T15:51:48+00:00,1
A-default,8f5bca645bd8738eb74c2e1dc284774a.cnf.xz,social-golfer,1,TIMEOUT,0,180.019,178.078,40.1,2819969,13157681,826431947,100304,35,time,180.0,,66324a4011ac75b2a1f5f2f05eaf0ae854174c59,2026-09-22T15:54:20+00:00,1
A-default,bfc825d1eb0670fd90805c546fea5c6b.cnf.xz,sorting-networks,1,TIMEOUT,0,180.414,178.838,250.6,55171,241237,670815683,3899,6,time,180.0,,ffbb09c816cecb1f10eb7e76b163357bd4398f3c,2026-09-22T15:57:20+00:00,1
A-default,6cd46641ebd4c840b8f116d14ca17dfd.cnf.xz,stable-semantics,1,SAT,10,1.055,1.088,108.3,0,0,7500,0,0,time,180.0,,773280a70ddb97973f8c3ce486f146ed9a9430b4,2026-09-22T16:00:20+00:00,1
A-default,e1292f8d651e022362630d34fef69312.cnf.xz,stable-semantics,1,SAT,10,0.251,0.259,34.4,0,0,3896,0,0,time,180.0,,4047524cbd29f8dca81a7c050eb32455bbaf7f4c,2026-09-22T16:00:21+00:00,1
A-default,5f65b4cceeb01c56e037df144309b29e.cnf.xz,subgraph-isomorphism,1,TIMEOUT,0,180.039,178.258,72.4,5125608,7258218,31278710,107329,42,time,180.0,,db1a5505c46d9e72503fdc4a93cc4a4e05b66f2a,2026-09-22T16:00:22+00:00,1
A-default,33c8aca6a52d10e040da959439834d6a.cnf.xz,syndrome-decoding,1,SAT,10,159.225,157.505,38.8,752347,3001503,933957564,33306,21,time,180.0,,bc352a9fafc0f28c1c5bb18a6302984a2c3efc75,2026-09-22T16:03:22+00:00,1
A-default,a5dc08b83ff806ac2c2c8cc23053fb07.cnf.xz,syndrome-decoding,1,TIMEOUT,0,180.010,177.864,51.6,680899,3258221,1197062236,32971,20,time,180.0,,5d72617f7fd01b69aafb08fb067eff49fb7919ed,2026-09-22T16:06:01+00:00,1
A-default,4d6bd7b2c674fb67b271127586914b74.cnf.xz,van-der-waerden,1,TIMEOUT,0,180.014,177.646,45.7,3235359,4407371,67274799,61271,37,time,180.0,,ac20fa3dc1dc2d3b09426d407fb6dd327dbce8c9,2026-09-22T16:09:01+00:00,1
A-default,66204949278cdd9d81e102eace6d4669.cnf.xz,van-der-waerden,1,TIMEOUT,0,180.032,178.021,32.1,3289188,3987622,54795090,83825,36,time,180.0,,3ea456289555fbcda041d1d88c9c6841d703b8eb,2026-09-22T16:12:01+00:00,1
A-default,68ef4b1ed6a28c75defea64bb7d53e06.cnf.xz,van-der-waerden,1,TIMEOUT,0,180.053,177.917,76.9,2676522,5344146,75485646,47405,37,time,180.0,,9d00d7cf31be2e1e6a0f05229a5cfe96e330aafe,2026-09-22T16:15:01+00:00,1
A-default,a08c17f9a3888841cf7bbc75a807ff7e.cnf.xz,xor-shifting,1,TIMEOUT,0,180.010,177.963,20.0,1034142,1190730,447610775,52264,24,time,180.0,,bde79411f48aeeb573cc8f971aaab1cfad2d1a4e,2026-09-22T16:18:01+00:00,1
